names,scores,logfoldchanges,pvals,pvals_adj,group,analysis_type
Cntn4,14.378416,2.617704,7.069364763954656e-47,9.980279666759515e-46,2,combined
Cntn1,14.204973,0.7679895,8.53347124439403e-46,1.1703046278026097e-44,2,combined
Cacna2d1,14.030657,0.99518466,1.0120925871849261e-44,1.368463216475393e-43,2,combined
Srgap1,13.937098,0.8748203,3.769611994380063e-44,5.0261493258400845e-43,2,combined
Pak3,13.89366,0.9919808,6.920733286696383e-44,9.1012382948336e-43,2,combined
Plxna4,13.68823,0.84380573,1.1938337901023854e-42,1.5487573493220135e-41,2,combined
Cadm1,13.305217,0.58500946,2.1586644199482774e-40,2.7267340041451928e-39,2,combined
Stx1b,12.99387,0.5667067,1.3255163764533034e-38,1.6107540777154068e-37,2,combined
Foxg1,12.957048,0.90442455,2.1433706594358193e-38,2.572044791322983e-37,2,combined
Gabra1,12.933986,1.8688581,2.894165742012879e-38,3.4301223609041527e-37,2,combined
Srgap3,12.253847,0.5610502,1.602122963824272e-34,1.8530578858690377e-33,2,combined
Ppp3ca,12.042888,1.5857645,2.114223661317557e-33,2.3600636219358775e-32,2,combined
Slitrk1,11.684686,1.1796162,1.526437122172132e-31,1.6103072937200515e-30,2,combined
Syp,11.568998,0.9056551,5.916955730823817e-31,6.1078252705278114e-30,2,combined
Gabbr2,11.411308,0.96892416,3.6716370880664654e-30,3.710285899519797e-29,2,combined
Dlgap1,11.031473,0.6283255,2.6941504996617693e-28,2.5607767125498006e-27,2,combined
Trpc5,10.925173,1.584645,8.737438729379976e-28,8.143632213791046e-27,2,combined
Sema3e,10.877999,2.8994143,1.467488930747897e-27,1.3546051668442127e-26,2,combined
Ptprj,10.422674,0.37299374,1.9538062363112787e-25,1.689778366539484e-24,2,combined
Gria3,10.304451,1.4917569,6.727471037494638e-25,5.6652387684165375e-24,2,combined
Nlgn1,10.052088,1.3964474,8.994137850890563e-24,7.31726469224995e-23,2,combined
Unc13a,9.833404,0.870803,8.083938152612942e-23,6.5214963247969945e-22,2,combined
Eef1a2,9.773019,0.6117511,1.4700495971182758e-22,1.1760396776946206e-21,2,combined
Epha5,9.615442,2.4783742,6.881273052109205e-22,5.370749699207185e-21,2,combined
Gap43,9.17143,1.1961098,4.667851418614742e-20,3.42071554341233e-19,2,combined
Bcl6,9.07791,1.9004817,1.106793491920264e-19,8.049407213965556e-19,2,combined
Adcy2,8.721174,0.89924806,2.7533105678906003e-18,1.9293271132664063e-17,2,combined
Kcnq3,8.588376,0.78302497,8.820712488316841e-18,6.092002869628897e-17,2,combined
Gls,8.403718,1.1928219,4.325620826127691e-17,2.8638593055741957e-16,2,combined
Gabrb2,8.31863,1.2375935,8.898549417000372e-17,5.772032054270511e-16,2,combined
Atp6v0a1,8.230759,0.48400688,1.86030957437993e-16,1.1963499247461383e-15,2,combined
Rapgef2,8.149146,0.4798746,3.665030397931912e-16,2.2996269163494353e-15,2,combined
Celf2,8.00231,1.2648591,1.2210635461116793e-15,7.326381276670076e-15,2,combined
Slitrk5,7.9592705,0.9599559,1.7305680778952173e-15,1.0255218239379065e-14,2,combined
Slc17a7,7.7333555,1.3116992,1.0474808653290784e-14,5.915186063034795e-14,2,combined
Flna,7.677627,0.33429217,1.6206223614612313e-14,9.09823080118586e-14,2,combined
Cacna1b,7.256129,1.0373487,3.983263004380467e-13,2.0669905320028365e-12,2,combined
Mapk8ip3,7.0865254,0.33993754,1.3752100537278556e-12,6.985193923697045e-12,2,combined
Rras2,6.8396254,1.1281681,7.940059362465168e-12,3.970029681232584e-11,2,combined
Gng2,6.801035,0.43266436,1.0387038807183337e-11,5.1399779664412387e-11,2,combined
Rgs4,6.592342,0.39670977,4.329424214024094e-11,2.109770175361995e-10,2,combined
Cacnb4,6.4902267,0.38194856,8.570721867603719e-11,4.09347910094506e-10,2,combined
Astn1,6.106893,0.3927991,1.0158935833421845e-09,4.494275760407821e-09,2,combined
Fxyd7,6.02987,1.6842815,1.6409163101310565e-09,7.193057797834768e-09,2,combined
Tubb3,6.007517,0.35850218,1.88386416932716e-09,8.183301369022958e-09,2,combined
Ppp3r1,5.8647237,1.0551003,4.498817066297496e-09,1.919495281620265e-08,2,combined
Pak1,5.758579,0.85664964,8.482498592975744e-09,3.5559819429068616e-08,2,combined
Kit,5.7483406,0.6486071,9.012346658534694e-09,3.761675127040568e-08,2,combined
Dync1i1,5.73489,0.9007309,9.757579296216893e-09,4.055097889336891e-08,2,combined
Gng4,5.318453,1.037252,1.046534174199643e-07,4.16876683498613e-07,2,combined
Slc6a11,5.2423916,0.09187932,1.5850843382536774e-07,6.262061583224405e-07,2,combined
Rasd1,5.1409817,1.120799,2.7330681029415435e-07,1.0622450926412478e-06,2,combined
Cacna1a,5.1155276,0.6312845,3.128654347876815e-07,1.2110920056297347e-06,2,combined
Epb41l1,5.1070104,0.13389964,3.2729570242265774e-07,1.2568154973030057e-06,2,combined
Atp6v1c1,4.971978,0.56108385,6.627318063992657e-07,2.4564576607849232e-06,2,combined
Gnaq,4.9605336,0.48184428,7.029983829055793e-07,2.595686336882139e-06,2,combined
Rtn4,4.9057755,0.43215925,9.305882370612971e-07,3.4097889602246002e-06,2,combined
Cdh5,74.762955,8.061095,0.0,0.0,3,combined
Sparcl1,74.656975,3.2633753,0.0,0.0,3,combined
Apcdd1,64.777084,5.3979335,0.0,0.0,3,combined
Cldn5,63.331917,7.108093,0.0,0.0,3,combined
Vim,51.66612,3.510075,0.0,0.0,3,combined
Ptprm,50.736725,3.5972764,0.0,0.0,3,combined
Atp1a2,50.278854,2.8573942,0.0,0.0,3,combined
Gnai2,39.59454,2.7156284,0.0,0.0,3,combined
Pecam1,37.412106,6.056124,2.4836542123680832e-306,1.9869233698944664e-304,3,combined
Lef1,36.90062,3.4986157,4.516527723715892e-298,3.335282011359428e-296,3,combined
Mpzl1,35.642815,2.9990835,3.0447365447354926e-278,2.0878193449614807e-276,3,combined
Igf1r,35.413082,2.1111085,1.074096444560331e-274,6.8742172451861186e-273,3,combined
Lamb1,34.83406,3.587363,7.422557924687873e-266,4.453534754812724e-264,3,combined
