names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Htra1,30.56088,4.681376,4.053838002784998e-205,1.9458422413367988e-202,6,p30_R3_mut
Atp1a2,29.709467,2.8992758,5.794497862054118e-194,1.8542393158573176e-191,6,p30_R3_mut
Glul,25.055874,2.7213745,1.5065746485755828e-138,3.615779156581399e-136,6,p30_R3_mut
Sparcl1,23.335665,1.9744784,1.927015182083887e-120,3.699869149601063e-118,6,p30_R3_mut
Apoe,23.30287,2.721163,4.145945836439071e-120,6.633513338302513e-118,6,p30_R3_mut
Atp1b2,22.89942,3.1193237,4.7084696933172756e-116,6.457329865120835e-114,6,p30_R3_mut
Ntsr2,22.604,4.018652,3.9584313301320934e-113,4.750117596158512e-111,6,p30_R3_mut
Clu,22.592648,3.0404844,5.1185439136988e-113,5.459780174612053e-111,6,p30_R3_mut
Slc6a11,22.36757,3.1174312,8.145357890616069e-111,7.819543574991426e-109,6,p30_R3_mut
Camk2a,22.008612,2.087878,2.3817512583495215e-107,2.078619280014128e-105,6,p30_R3_mut
Gnao1,20.903284,1.8744321,4.998404428249946e-97,3.998723542599957e-95,6,p30_R3_mut
Aldoc,20.166645,3.4524977,1.9224892080249897e-90,1.4196843382338384e-88,6,p30_R3_mut
Sfxn5,20.075062,2.3751721,1.2193093226247262e-89,8.360978212283837e-88,6,p30_R3_mut
Shank1,18.378023,2.0680747,1.970208732821809e-75,1.1821252396930855e-73,6,p30_R3_mut
Pou3f3,17.226824,1.8695132,1.6707797700751568e-66,9.434991642777357e-65,6,p30_R3_mut
Cxcl14,16.401098,3.6381123,1.8781246904258916e-60,1.0016665015604755e-58,6,p30_R3_mut
Aqp4,15.290776,2.7064464,8.809396690331144e-53,4.4510635909041574e-51,6,p30_R3_mut
Grin2c,15.092625,4.539383,1.8109255603241246e-51,8.692442689555799e-50,6,p30_R3_mut
Gfap,14.426651,1.7546674,3.517511288797787e-47,1.608005160593274e-45,6,p30_R3_mut
Fgfr3,13.290662,4.2819242,2.622492503968956e-40,1.1443603653682717e-38,6,p30_R3_mut
Sox9,12.677932,2.2371402,7.837287407485058e-37,3.271215613558981e-35,6,p30_R3_mut
Cplx2,12.450904,1.1443586,1.382697110377554e-35,5.530788441510216e-34,6,p30_R3_mut
Gjb6,12.072898,3.3524196,1.4686999629848235e-33,4.5482321434368725e-32,6,p30_R3_mut
Slc6a1,12.006373,2.2622833,3.289571866161615e-33,9.868715598484844e-32,6,p30_R3_mut
Plxnb1,11.812426,2.0954895,3.367057675877868e-32,9.23535819669358e-31,6,p30_R3_mut
Mfge8,11.070302,2.6529489,1.7481039531684015e-28,3.995666178670632e-27,6,p30_R3_mut
Grm3,10.484032,2.1445951,1.022883017609882e-25,2.2317447656942882e-24,6,p30_R3_mut
Id4,10.214929,2.3648798,1.700036100523845e-24,3.547901427180198e-23,6,p30_R3_mut
Sdc4,10.082733,2.552183,6.5867862590577245e-24,1.3453861295096628e-22,6,p30_R3_mut
Aldh1l1,9.432254,2.9308736,4.013719479132371e-21,7.216089236218559e-20,6,p30_R3_mut
Slc1a3,8.60206,3.2166889,7.829755818000746e-18,1.2527609308801194e-16,6,p30_R3_mut
